Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	999	15085	0.02504	0.069316	0.010291	0.0074898	0.0052267	0.931525753525362
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	1000	15085	0.020244	0.055258	0.007838	0.0049049	0.0017772	0.839690334540856
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	1000	15085	0.02257	0.062476	0.01038	0.014849	0.0052267	0.801264302873323
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	1001	15085	0.018901	0.051983	0.0080342	0.0093293	0.0031923	0.813395548324707
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	1001	15085	0.022451	0.062147	0.010409	0.015519	0.0052267	0.792864461742763
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	1002	15085	0.019562	0.054556	0.0078295	0.0062423	0.0048746	0.953545493916268
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	1002	15085	0.020963	0.058086	0.008805	0.0086439	0.006735	0.950097154191365
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	1003	15085	0.018536	0.050596	0.0081387	0.011385	0.0017772	0.706720220420218
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	1003	15085	0.015425	0.042741	0.0092276	0.04731	0.006735	0.61015333321949
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	1004	15085	0.01781	0.048983	0.0082025	0.014963	0.0031923	0.73119276731814
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	1004	15085	0.016732	0.046363	0.0090983	0.032966	0.006735	0.68239600489867
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	1005	15085	0.018812	0.051349	0.0080112	0.0094393	0.0017772	0.736314926565066
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	1005	15085	0.015526	0.0433	0.0080769	0.027296	0.0048746	0.676409912971092
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	1006	15085	0.017115	0.047071	0.0082943	0.019545	0.0031923	0.684709666744391
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	1006	15085	0.015304	0.04268	0.0081809	0.030708	0.0048746	0.654285703403615
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	1007	15085	0.015392	0.042015	0.011545	0.09124	0.0017772	0.378078191237722
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	1007	15085	0.0099951	0.02749	0.011801	0.19851	0.0031923	0.281348872566973
DropViz_SN_level2	Neuron_Slc17a6.2_1	1008	15085	0.021863	0.061036	0.0065815	0.00044805	1.5379e-05	0.695745583232939
