Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	15085	0.038525	0.10637	0.010592	0.00013839	0.002232775	0.00280649137931034
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Tox.1_7	15085	0.036739	0.10269	0.010108	0.00013958	0.002232775	0.00280649137931034
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	15085	0.038743	0.10696	0.010683	0.00014405	0.002232775	0.00280649137931034
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Ddit4l.2_1	15085	0.036824	0.10085	0.010342	0.00018554	0.00246503142857143	0.0031766696969697
DropViz_PC_level2	Neuron_Sc17a7_Fermt1.2_12	15085	0.033852	0.093249	0.0097834	0.00027068	0.00312733636363636	0.00424817222222222
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl.2_5	15085	0.036152	0.098901	0.010577	0.00031612	0.00312733636363636	0.0045027675
DropViz_PC_level2	Neuron_Sc17a7_Rorb-Gpr83.2_11	15085	0.037732	0.10387	0.011151	0.00035846	0.00312733636363636	0.00457361489361702
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Otof.2_6	15085	0.033129	0.09059	0.0098156	0.0003699	0.00312733636363636	0.00457361489361702
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	15085	0.031158	0.085732	0.0093866	0.0004522	0.00350455	0.00500966666666667
DropViz_PC_level2	Neuron_Sc17a7_Sema3e-Onecut2.2_18	15085	0.033892	0.093602	0.01041	0.00056658	0.00405322615384615	0.00615610961538462
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Fos.1_9	15085	0.03024	0.084512	0.0097564	0.00097117	0.00623224	0.00861282575757576
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Tshz2-Nrep.1_3	15085	0.030537	0.085094	0.0098849	0.0010052	0.00623224	0.00861282575757576
DropViz_PC_level2	Neuron_Sc17a7_Sema3e-Nnat.2_17	15085	0.033124	0.091285	0.011141	0.0014769	0.00858448125	0.01112598
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	15085	0.022631	0.061773	0.0077617	0.0017772	0.00972232941176471	0.012551475
