Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_GP_level2	Polydendrocyte_Tnr_Cyth3.4_7	15078	0.0037125	0.011237	0.0025519	0.072875	1	1
DropViz_GP_level2	Endothelial_Stalk_Flt1_Cdkn1c.7_2	15078	0.0066867	0.018285	0.0045968	0.072895	1	1
DropViz_GP_level2	Endothelial_Stalk_Flt1_Car4.7_5	15078	0.0065478	0.017999	0.0046459	0.079374	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Trdn.2_16	15078	0.0094234	0.025539	0.006785	0.082449	1	1
DropViz_GP_level2	Endothelial_Stalk_Flt1_Lcn2.7_4	15078	0.0057279	0.016029	0.0042712	0.089962	1	1
DropViz_GP_level2	Endothelial_Stalk_Flt1_Apold1.7_1	15078	0.0053348	0.014856	0.0043745	0.11133	1	1
DropViz_GP_level2	Neuron_Chat-Gad1Gad2-Slc17a8_Ngfr.1_1	15078	0.0067988	0.018608	0.0066332	0.1527	1	1
DropViz_GP_level2	Endothelial_Stalk_Flt1_Mgp.7_3	15078	0.0039015	0.010933	0.0041554	0.1739	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Igfbp4_Adora1.2_25	15078	0.0051171	0.014612	0.0057913	0.18847	1	1
DropViz_GP_level2	Mitotic_MkI67.4_6	15078	0.002158	0.007029	0.0027667	0.2177	1	1
DropViz_GP_level2	Endothelial_Tip_Dcn_Col15a1.9_2	15078	0.0026456	0.0076178	0.0037988	0.24308	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Cadm2.3_4	15078	0.0038244	0.010508	0.0057855	0.2543	1	1
DropViz_GP_level2	Endothelial_Tip_Dcn_Mgp.9_1	15078	0.002538	0.0072514	0.0039747	0.26157	1	1
DropViz_GP_level2	Neuron_Slc17a6_Tcf7l2.2_8	15078	0.0035743	0.0097078	0.0069954	0.3047	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Six3-Pvalb.2_20	15078	0.002952	0.0082258	0.0063082	0.31991	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a-Pde1c.3_6	15078	0.0030211	0.008294	0.0067781	0.32791	1	1
DropViz_GP_level2	Macrophage_C1qb_Mrc1.11_2	15078	0.0014193	0.0040072	0.003761	0.35295	1	1
DropViz_GP_level2	Oligodendrocyte_Trf_Klk6.10_2	15078	0.0020893	0.0055743	0.0056264	0.3552	1	1
DropViz_GP_level2	Oligodendrocyte_Trf_Ttyh1.10_3	15078	0.0020505	0.0054721	0.0057556	0.36083	1	1
DropViz_GP_level2	Polydendrocyte_Tnr_Pdgfa-Tmem2.4_2	15078	0.0015101	0.0042091	0.0049075	0.37915	1	1
DropViz_GP_level2	Endothelial_Tip_Dcn_Ifitm1.9_3	15078	0.0010038	0.0028479	0.003777	0.39522	1	1
DropViz_GP_level2	Neuron_Slc17a6_Rspo3.2_9	15078	0.001781	0.0048679	0.0070245	0.39992	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Fibcd1.2_15	15078	0.0014226	0.0037826	0.0077278	0.42697	1	1
DropViz_GP_level2	Microglia_C1qb_Tmem119.11_1	15078	0.00057274	0.0016033	0.0039306	0.44208	1	1
DropViz_GP_level2	Mural_Rgs5Acta2_Lmcd1.8_3	15078	0.00043397	0.0013344	0.003107	0.44446	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	15078	0.0009873	0.0026672	0.0070744	0.44451	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Scn4b.2_14	15078	0.00077236	0.0020615	0.0066287	0.45362	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Lamp5-Cplx3.2_22	15078	0.00027457	0.00085771	0.0035712	0.46936	1	1
DropViz_GP_level2	Ependymal_Ccdc153.6_1	15078	0.00010394	0.00030471	0.0032844	0.48738	1	1
DropViz_GP_level2	Oligodendrocyte_Trf_Ctps.10_4	15078	2.1614e-05	5.9086e-05	0.0049251	0.49825	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Cyp26b1.2_19	15078	-0.00032625	-0.00088991	0.0077985	0.51668	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Trh.2_23	15078	-0.00040789	-0.0011961	0.0048706	0.53337	1	1
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	15078	-0.00066777	-0.0018212	0.0071762	0.53707	1	1
DropViz_GP_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.2_7	15078	-0.00066113	-0.0018203	0.0066936	0.53934	1	1
DropViz_GP_level2	Oligodendrocyte_Trf_Mbp.10_1	15078	-0.00074575	-0.0019688	0.0062477	0.54751	1	1
DropViz_GP_level2	Oligodendrocyte_Trf_Kif5b.10_6	15078	-0.00072734	-0.001921	0.0060492	0.54785	1	1
DropViz_GP_level2	Neuron_Chat-Gad1Gad2-Slc17a8_Nefm.1_2	15078	-0.00083931	-0.0023715	0.0058421	0.55712	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Pdyn.3_2	15078	-0.0010241	-0.0028259	0.0066629	0.56108	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Igfbp4_Rgs4.2_24	15078	-0.00094766	-0.0026544	0.0061568	0.56116	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Sphkap-Tmem255a.3_7	15078	-0.0011489	-0.0031425	0.0073907	0.56177	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a.3_3	15078	-0.0011998	-0.0032553	0.0068605	0.56942	1	1
DropViz_GP_level2	Astrocyte_Gja1_Crym.5_2	15078	-0.0014477	-0.0038151	0.0055099	0.60363	1	1
